case_id,lung_airway,cardiomediastinal,hepatosplenic,renal_adrenal,bowel_pancreas,pelvic_urinary,axial_bone,appendicular_muscle
gap_f5af448c110e974293,4534 3 4660 6 4668 9 4679 7 4781 39 4905 17 4923 29 5028 21 5052 30 5154 23 5181 31 5279 26 5310 32 5405 27 5439 32 5532 28 5568 32 5659 28 5697 32 5785 29 5827 31 5912 30 5956 32 6039 31 6085 32 6166 31 6214 31 6293 32 6343 31 6420 32 6472 31 6547 33 6601 31 6675 32 6730 30 6802 33 6859 30 6930 33 6987 30 7057 34 7115 31 7185 34 7243 31 7313 34 7371 32 7441 35 7499 32 7569 27 7597 7 7628 32 7697 26 7726 6 7752 1 7756 32 7825 26 7855 4 7879 2 7885 31 7953 26 8000 4 8006 4 8013 31 8081 27 8124 14 8141 32 8209 28 8252 15 8269 32 8337 29 8379 50 8465 29 8508 3 8514 43 8594 28 8643 42 8722 29 8770 43 8850 29 8898 42 8979 32 9026 42 9107 33 9154 42 9236 32 9283 41 9364 32 9412 39 9492 32 9541 38 9621 31 9670 37 9749 31 9799 35 9878 31 9927 35 10007 32 10056 33 10135 35 10184 33 10264 34 10312 32 10393 33 10440 31 10522 32 10568 31 10651 31 10697 29 10780 29 10825 28 10909 28 10953 27 11037 28 11082 25 11167 25 11210 25 11296 23 11339 22 11425 21 11468 20 11554 19 11597 17 11684 15 11726 15 11814 12 11856 11 11946 4 11986 7,5823 1 5947 7 6074 9 6201 11 6328 13 6456 16 6584 17 6711 19 6839 20 6967 20 7095 20 7223 20 7351 10 7363 7 7481 7 7491 6 7620 4 7980 2 7984 2 8011 1 8111 5 8139 1 8239 6 8367 6 8495 5 8886 5 9013 8 9140 9 9268 9 9396 9 9524 11 9652 10 9780 10 9909 7 10039 3,,,8506 2 8511 1 8634 7 8763 6 8891 6 9022 3,,3772 2 3895 9 4022 11 4149 13 4276 17 4402 20 4529 2 4954 2 5083 2 5213 2 5277 1 5342 2 5403 2 5472 1 5530 1 5601 1 6418 2 6545 2 6672 3 6800 2 6928 1 7532 1 7660 2 7695 2 7788 2 7822 3 7916 3 7950 3 8044 3 8078 3 8173 2 8207 1 8301 2 8429 2 8977 1 9105 2 9233 3 9324 2 9361 3 9408 1 9451 3 9490 2 9535 4 9579 3 9619 2 9662 7 9707 3 9747 2 9790 8 9835 2 9917 10 9963 1 10044 11 10172 11 10300 11 10427 12 10555 12 10599 2 10682 13 10726 3 10810 13 10853 3 10939 12 10981 3 11035 1 11067 11 11108 3 11164 1 11195 11 11236 2 11292 3 11324 10 11363 2 11421 3 11448 1 11452 11 11550 4 11574 3 11580 11 11679 4 11701 3 11707 12 11723 1 11808 5 11827 5 11834 1 11838 6 11847 2 11852 1 11937 7 11952 9 11967 4 11977 1 11981 2 12067 21 12095 3 12110 3 12198 14 12224 1 12240 6 12352 1,9740 1 9867 3 9995 4 10098 3 10123 4 10225 5 10252 4 10353 5 10382 3 10480 5 10512 1 10607 4 10640 2 10734 2 10769 2 10861 2 10898 2 10989 2 11027 2 11116 2 11156 1 11244 2 11286 2 11371 2 11415 3 11497 4 11544 3 11624 4 11751 3 11877 4 11962 4 11971 6 12004 4 12088 7 12098 8 12132 3 12215 8 12226 10 12342 9 12354 11 12469 10 12482 11 12597 9 12611 10 12728 5 12740 6
gap_5296f1202eee3792d4,8135 6 8263 7 8391 8 8520 7 8649 6 8777 6 8906 5 9034 5 9163 4 9291 4 9419 4 9548 3 9676 3 9804 3 9932 3 10060 3 10188 4 10316 4 10445 4 10573 5 10701 6 10830 6 10958 7 11087 7 11216 8 11346 8 11476 8 11607 4,7112 3 7239 6 7367 7 7495 8 7625 6 7756 2 7999 4 8126 6 8253 7 8380 9 8508 9 8636 8 8764 8 8893 5,3768 12 3893 19 4021 27 4149 41 4277 44 4406 45 4535 45 4663 46 4791 47 4919 48 5047 49 5176 49 5304 50 5432 51 5560 52 5689 51 5817 52 5946 51 6075 50 6204 49 6333 49 6463 47 6592 46 6722 45 6852 43 6981 43 7109 3 7115 37 7237 2 7245 35 7366 1 7374 34 7503 34 7631 34 7758 35 7886 35 8015 34 8144 34 8272 34 8400 34 8528 34 8656 34 8726 2 8784 34 8853 5 8912 33 8980 8 8992 1 9040 33 9107 14 9168 33 9235 16 9255 5 9296 33 9363 26 9424 33 9491 27 9552 33 9620 26 9680 32 9748 26 9808 31 9877 24 9936 31 10005 23 10064 30 10134 22 10193 28 10262 21 10321 28 10391 19 10450 26 10520 18 10579 24 10650 16 10708 22 10780 13 10837 20 10910 11 10967 16 11040 9 11096 13 11171 4 11226 9,9523 1 9646 1 9649 5 9774 9 9901 10 10028 11 10156 11 10283 12 10410 12 10538 12 10666 11 10793 11 10921 10,4143 6 4269 8 4397 9 4524 11 4652 11 4779 12 4907 12 5035 12 5162 14 5290 14 5417 15 5531 9 5545 15 5658 11 5673 15 5786 12 5800 16 5916 28 6045 27 6173 27 6300 28 6427 29 6553 33 6680 35 6807 37 6935 39 7062 22 7086 17 7190 21 7214 19 7318 12 7331 8 7343 19 7446 8 7455 1 7459 8 7471 20 7574 7 7587 8 7599 14 7615 4 7702 6 7715 10 7728 12 7830 6 7844 10 7857 10 7958 6 7972 23 8086 6 8101 22 8214 6 8225 2 8228 22 8342 6 8352 24 8471 4 8479 24 8606 9 8617 14 8735 7 8746 13 8863 7 8875 12 8993 3 9007 8 9138 4 9260 1,,3998 2 4124 4 4250 5 4377 6 4505 5 4586 1 4633 3 4713 3 4841 4 4970 4 5099 3 5229 2 5357 2 5397 2 5524 3 5652 2 5779 3 5907 3 6385 1 6512 2 6641 2 6674 1 6769 2 6801 2 6897 2 6929 3 7025 2 7057 3 7184 3 7313 2 8435 1 8563 2 8691 2 8819 2 8849 2 8947 2 8977 2 9075 1 9105 2 9154 5 9233 2 9280 9 9361 2 9407 11 9490 1 9535 12 9618 1 9662 13 9790 13 9918 13 10046 13 10174 13 10301 14 10429 13 10555 15 10682 16 10809 4 10814 11 10936 5 10942 10 11036 2 11063 17 11083 3 11114 1 11164 4 11190 3 11195 3 11200 8 11210 5 11240 3 11293 4 11316 3 11330 3 11337 3 11341 3 11367 3 11422 4 11442 1 11458 2 11494 3 11552 2 11586 1 11621 3 11749 1,11321 7 11446 11 11462 7 11572 13 11589 10 11691 23 11716 13 11816 25 11844 15 11944 25 11972 20 12072 25 12100 22 12201 23 12228 23 12332 19 12357 21 12463 13 12486 19 12598 2 12616 14 12747 7
gap_deac151dc54033d129,,6845 4 6962 4 6972 6 6983 3 7090 4 7100 7 7111 4 7216 5 7228 7 7238 6 7344 2 7356 7 7366 9 7484 6 7494 8 7614 3 7623 5 7752 2,6932 3 7059 5 7187 5 7315 6 7443 6 7571 7 7699 7 7827 8 7955 8 8083 8 8211 8 8339 8 8467 8 8595 8 8723 7 8851 7 8980 6 9108 6 9237 5 9366 3 9495 1,7072 7 7199 10 7327 11 7383 4 7454 13 7510 6 7582 14 7637 8 7710 15 7765 8 7838 16 7893 8 7966 8 7977 5 8021 9 8094 7 8105 5 8151 7 8222 7 8233 5 8271 3 8279 7 8350 7 8360 6 8398 5 8407 7 8478 7 8486 8 8526 4 8535 7 8606 15 8654 4 8663 7 8734 15 8782 5 8791 6 8863 13 8910 5 8919 6 8991 12 9038 7 9047 6 9120 9 9166 15 9248 7 9295 14 9378 3 9423 14 9552 12 9681 10 9809 9 9939 6 10068 3,2886 4 2996 3 3013 6 3121 8 3141 16 3245 13 3269 18 3367 19 3397 21 3493 22 3523 28 3619 25 3646 35 3746 63 3873 52 3927 10 4001 34 4038 7 4048 4 4055 10 4129 17 4152 8 4169 2 4184 9 4257 16 4312 8 4385 15 4441 6 4513 15 4569 4 4640 15 4656 1 4767 12 4783 1 4895 12 4961 5 4971 4 5021 15 5063 5 5088 7 5099 5 5147 18 5190 7 5216 7 5226 7 5274 4 5280 15 5318 8 5344 7 5354 7 5401 4 5411 13 5436 5 5444 10 5473 6 5483 6 5528 5 5540 13 5565 16 5589 4 5601 6 5612 4 5655 6 5669 13 5694 9 5705 4 5713 5 5730 5 5783 6 5797 13 5823 2 5834 4 5839 8 5859 9 5872 3 5911 6 5925 13 5962 13 5987 10 5999 5 6038 6 6054 12 6091 12 6114 11 6127 5 6167 4 6183 10 6219 12 6242 11 6255 5 6346 14 6369 12 6384 4 6474 14 6497 12 6512 4 6602 15 6625 13 6639 5 6730 15 6752 20 6805 1 6862 11 6880 20 6986 1 6992 9 7008 20 7120 1 7125 2 7136 20 7247 1 7265 19 7375 1 7393 19 7502 1 7522 17 7651 16 7779 15 7908 14 8036 12 8165 9 8294 6,,7865 5 7991 9 8118 12 8246 13 8374 14 8502 14 8630 14 8758 14 8886 14 9014 14 9142 14 9270 13 9399 12 9527 11 9655 11 9782 13 9836 1 9908 17 9963 2 10036 18 10091 2 10163 3 10167 15 10218 2 10292 2 10296 10 10307 4 10346 1 10424 9 10556 4 10601 1 10683 2 10729 1 10811 2 10939 3 11066 4 11194 4 11323 3,8369 3 8496 4 8624 5 8752 5 8775 1 8879 6 8902 3 9007 6 9030 4 9135 6 9157 5 9263 6 9285 6 9391 6 9413 6 9519 6 9541 6 9647 6 9669 6 9776 4 9797 6 9904 3 9925 6 10055 4 10548 4 10670 12 10690 3 10694 2 10796 14 10816 9 10921 17 10944 12 11048 18 11071 16 11175 18 11199 19 11303 18 11327 20 11431 18 11455 20 11559 18 11583 21 11688 17 11711 21 11817 16 11840 20 11946 14 11968 19 12076 10 12097 18 12227 14 12359 8
gap_5bf1e73744b2580044,,8122 1 8508 2 8524 4 8633 6 8651 6 8758 9 8777 7 8886 1 8888 7 8904 7 9017 6 9032 6 9146 4 9160 6 9289 4,,,4279 5 4403 12 4529 15 4654 19 4781 21 4806 9 4820 4 4909 36 4948 7 5037 36 5076 9 5158 4 5163 38 5205 9 5286 43 5333 10 5415 42 5462 10 5543 41 5590 13 5672 12 5687 6 5697 14 5718 7 5726 6 5801 11 5815 6 5825 11 5845 16 5930 11 5942 7 5954 7 5973 5 5981 8 6060 17 6083 5 6100 6 6109 8 6189 9 6199 7 6212 3 6228 5 6237 7 6317 9 6327 7 6355 6 6365 7 6445 9 6456 7 6483 6 6493 6 6574 8 6584 7 6610 8 6620 5 6704 7 6713 7 6738 15 6833 15 6866 15 6963 13 6995 14 7092 12 7122 15 7220 12 7245 20 7349 12 7373 19 7478 11 7501 7 7510 9 7611 8 7629 7 7639 7 7742 7 7755 7 7871 16 8000 14 8129 12 8260 8 8390 5 8520 1,,9411 4 9521 5 9537 7 9649 9 9663 10 9778 26 9906 36 10035 35 10163 35 10291 34 10420 32 10548 32 10676 32 10804 31 10933 30 11061 29 11189 29 11317 28 11445 28 11574 26 11702 26 11831 24 11966 17 12095 9 12106 2 12109 2 12225 4 12355 1,5920 5 6048 5 6176 6 6301 9 6428 12 6555 15 6683 16 6758 4 6810 18 6885 6 6938 18 7013 6 7065 20 7141 6 7192 23 7267 9 7320 24 7394 12 7448 25 7521 14 7575 28 7648 15 7703 29 7775 17 7832 30 7894 1 7901 20 7959 31 8018 31 8087 32 8145 32 8215 32 8273 32 8343 32 8400 33 8471 32 8528 33 8599 32 8657 32 8727 31 8785 32 8855 31 8913 31 8983 31 9042 30 9111 28 9170 30 9240 24 9299 29 9368 26 9427 29 9496 25 9557 27 9623 26 9687 24 9750 28 9815 24 9879 27 9942 25 10007 28 10070 24 10135 28 10198 23 10264 27 10325 24 10393 27 10452 24 10522 26 10580 23 10651 25 10708 23 10779 25 10835 24 10908 25 10963 23 11037 24 11090 24 11166 23 11218 23 11296 21 11345 22 11425 13 11440 5 11473 21 11555 13 11569 4 11600 20 11685 16 11728 19 11815 12 11855 18 11946 10 11983 16 12076 17 12111 15 12207 15 12233 3 12238 6 12246 6 12338 13 12360 5 12368 2 12373 5 12472 7 12487 6 12501 2
gap_505c5e72c8ab02164d,4552 9 4680 20 4808 22 4937 23 5066 23 5195 23 5324 23 5453 24 5581 25 5710 25 5793 1 5839 25 5919 4 5968 24 6046 5 6096 25 6172 7 6225 24 6299 8 6353 25 6426 9 6481 12 6498 8 6553 10 6609 11 6628 6 6681 11 6737 9 6757 5 6809 11 6865 9 6885 5 6936 13 6993 9 7014 5 7064 13 7120 10 7142 5 7192 14 7247 11 7270 5 7320 14 7375 11 7397 7 7447 16 7502 12 7525 7 7575 17 7630 13 7652 8 7703 18 7757 14 7779 9 7830 20 7884 17 7905 11 7958 21 8010 34 8086 22 8133 40 8214 23 8260 41 8342 24 8388 41 8470 25 8516 41 8598 27 8644 41 8726 32 8772 41 8853 33 8900 41 8982 32 9029 40 9110 32 9158 39 9238 31 9286 39 9366 31 9415 38 9494 32 9544 37 9622 32 9673 35 9750 32 9801 35 9878 32 9930 34 10006 32 10058 33 10135 31 10186 33 10263 31 10314 32 10392 30 10443 31 10520 30 10571 30 10649 29 10699 30 10777 29 10827 29 10906 27 10955 28 11035 26 11083 27 11163 26 11212 25 11292 24 11340 24 11422 20 11469 22 11553 15 11598 20 11682 13 11728 16 11812 9 11858 13 11942 6 11990 5,5177 10 5303 14 5418 28 5545 30 5672 31 5799 33 5927 40 6054 42 6182 42 6310 43 6438 43 6566 43 6694 43 6822 43 6950 22 6973 19 7078 21 7102 18 7207 20 7230 17 7335 19 7358 17 7464 18 7487 1 7491 11 7593 17 7619 11 7721 17 7748 9 7850 16 7877 7 7980 13 8007 2 8109 11 8238 8 8368 4 8505 7 8632 8 8759 10 8887 10 9014 11 9142 11 9270 10 9398 10 9527 8 9657 4,6493 4 6620 7 6746 11 6874 11 7002 11 7130 11 7258 11 7386 11 7514 11 7643 9 7771 8 7901 4,,,,4043 9 4149 6 4170 12 4273 9 4298 13 4399 8 4428 12 4526 8 4563 5 4650 10 4775 7 4902 7 4961 2 5029 4 5090 3 5156 1 5219 3 5348 3 5477 3 5606 2 5735 2 5915 1 6041 3 6168 4 6296 3 6423 3 6551 2 6679 2 6806 2 7276 1 7404 1 7532 2 7660 2 7788 2 7916 3 7956 2 8044 3 8084 2 8173 2 8211 3 8301 1 8339 3 8429 1 8467 3 8557 1 8595 3 8723 3 8852 1 9538 1 9663 8 9709 1 9789 11 9836 2 9877 1 9916 12 9964 2 10004 2 10043 13 10091 3 10132 3 10170 14 10219 2 10260 3 10298 14 10346 3 10389 3 10426 14 10474 3 10517 3 10554 14 10602 2 10646 3 10682 14 10729 2 10775 2 10809 15 10857 1 10903 2 10937 16 11064 16 11193 15 11320 15 11447 17 11574 3 11579 13 11702 4 11711 5 11719 2 11832 3 11839 4 11847 2 11968 3 12065 4 12096 2 12119 7 12194 5 12224 2 12246 7 12323 6 12352 2 12374 6 12453 4 12480 2,11835 2 11955 11 11972 11 12079 16 12099 14 12206 17 12227 15 12333 18 12355 16 12461 18 12483 17 12589 17 12611 17 12718 15 12741 14 12848 5 12878 3
gap_fbea1969b0eb81bf0d,3803 5 3876 4 3932 5 4001 7 4060 6 4128 8 4190 5 4255 8 4318 5 4383 7 4448 4 4510 7 4577 4 4638 5 4706 4 4765 5 4835 3 4892 5 4964 3 5019 6 5093 3 5147 6 5222 2 5274 6 5351 2 5402 6 5529 6 5657 5 5785 4 5912 5 6040 5 6168 5 6295 5 6423 4 6467 1 6551 4 6593 5 6679 3 6721 7 6807 3 6849 9 6934 3 6977 11 7062 2 7106 11 7190 2 7234 11 7318 1 7362 12 7446 1 7491 11 7574 1 7619 12 7701 2 7747 12 7829 2 7861 1 7875 12 7957 2 7989 2 8004 12 8084 3 8116 3 8132 12 8212 3 8244 4 8261 12 8340 3 8372 4 8390 11 8468 3 8499 6 8518 12 8596 4 8627 6 8647 11 8725 3 8754 7 8775 12 8853 3 8881 8 8904 11 8981 3 9008 9 9032 12 9109 3 9136 9 9160 13 9237 4 9263 10 9289 13 9365 4 9390 11 9417 14 9449 1 9494 3 9517 11 9546 15 9575 3 9622 3 9645 11 9674 16 9701 5 9751 3 9772 12 9803 19 9826 7 9879 3 9899 13 9931 30 10008 3 10026 14 10059 29 10136 4 10153 14 10188 27 10265 4 10279 16 10317 26 10393 6 10405 17 10445 24 10522 28 10574 22 10650 27 10703 20 10779 26 10832 17 10908 24 10962 13 11038 21 11093 8 11167 19 11297 15 11427 12 11558 6,5832 2 5956 8 6084 9 6212 10 6340 10 6469 9 6598 8 6729 4 7228 5 7354 7 7481 9 7609 9 7736 10 7864 10 7992 9 8120 8 8249 7 8380 2,3392 7 3515 15 3639 21 3765 26 3891 30 4019 32 4147 33 4276 35 4404 38 4533 42 4661 43 4790 44 4919 44 5047 46 5176 46 5305 46 5436 44 5570 39 5699 38 5828 4 5834 32 5964 32 6093 31 6222 31 6350 31 6478 31 6606 31 6733 33 6861 33 6941 1 6990 32 7068 3 7118 32 7196 3 7246 32 7375 31 7503 31 7581 3 7631 31 7705 8 7760 30 7833 9 7888 30 7961 16 8016 30 8088 19 8144 30 8216 22 8273 29 8344 23 8401 29 8472 24 8530 27 8600 24 8658 27 8728 24 8787 25 8856 24 8915 25 8985 22 9044 23 9113 22 9173 21 9241 22 9302 19 9369 21 9431 17 9498 19 9561 13 9626 19 9690 10 9755 17 9883 16 10012 14 10141 12 10270 9 10401 3,,4530 3 4656 5 4781 9 4908 11 5035 12 5161 15 5287 18 5414 20 5541 21 5667 1 5669 22 5793 3 5798 21 5921 3 5928 19 6048 5 6056 19 6176 26 6303 26 6430 20 6455 1 6559 19 6582 3 6687 19 6710 5 6815 19 6838 1 6840 3 6942 20 7071 20 7199 20 7325 22 7455 3 7461 14 7590 13 7718 12 7846 12 7977 8 8107 4 8238 1,,2907 1 3032 6 3111 2 3160 7 3236 5 3289 6 3363 6 3490 6 3618 5 3747 2 4195 3 4323 4 4452 3 4581 3 4711 1 4890 1 5017 2 5144 3 5272 2 5400 2 5869 1 5996 3 6124 3 6253 2 6381 2 6421 2 6549 2 6676 3 6804 2 7919 1 8046 2 8174 2 8302 2 8430 2 8466 2 8510 6 8558 1 8594 2 8636 9 8722 2 8763 11 8850 3 8890 13 8979 2 9018 13 9107 2 9146 13 9235 2 9274 13 9402 13 9530 13 9659 12 9787 12 9915 12 10043 11 10171 12 10299 12 10426 14 10553 19 10679 13 10693 4 10699 3 10806 6 10815 4 10828 3 10849 2 10933 2 10937 3 10944 3 10958 2 10976 3 11066 1 11072 3 11102 4 11200 2 11229 4 11328 2 11356 2 11457 2 11554 4 11585 2 11683 5 11713 2 11812 4 11841 1,10948 6 11067 4 11076 9 11192 7 11204 11 11318 9 11332 13 11444 11 11460 18 11571 12 11588 20 11698 14 11717 19 11822 18 11845 19 11948 19 11976 14 12076 19 12205 17 12335 14 12468 6
gap_02daecab79ab4c04f5,,,,,,,,6242 3 6369 7 6497 8 6624 10 6682 4 6752 11 6808 7 6879 12 6935 9 7007 12 7062 11 7135 12 7190 11 7262 13 7318 11 7390 13 7446 12 7517 13 7574 12 7650 6 7702 11 7831 9 7960 5 8674 4 8780 1 8800 7 8856 6 8908 2 8927 9 8984 7 9036 3 9055 9 9112 8 9182 10 9240 11 9260 2 9310 10 9368 13 9383 6 9438 11 9496 20 9566 11 9625 17 9694 10 9753 17 9822 10 9882 16 9950 9 10011 15 10078 8 10141 12 10205 8 10270 9 10331 9 10400 6 10458 8 10585 8 10712 8 10839 7 10922 3 10966 7 11050 4 11094 6 11178 5 11223 3 11307 4 11436 2
gap_cabd65526627951603,,6991 3 7113 1 7119 3 7241 1 7248 2 7368 3 7495 5 7611 1 7622 7 7737 6 7749 8 7864 8 7877 9 7991 10 8005 9 8118 11 8133 9 8246 10 8261 9 8374 9 8390 7 8502 9 8518 7 8630 8 8647 6 8762 1 8776 4 8905 1,4017 12 4055 4 4139 51 4267 53 4395 55 4524 56 4650 61 4780 60 4909 59 5037 60 5166 60 5295 59 5424 59 5553 59 5682 58 5812 57 5941 56 6070 56 6199 56 6329 21 6354 29 6459 16 6482 30 6588 10 6611 29 6717 9 6740 28 6848 9 6869 27 6976 11 6998 26 7104 9 7114 1 7122 1 7126 27 7233 8 7242 2 7247 1 7250 1 7255 26 7361 7 7371 1 7375 4 7382 27 7490 5 7504 33 7621 1 7629 1 7632 33 7757 37 7886 36 8014 36 8142 36 8270 36 8399 35 8528 34 8656 34 8785 33 8914 32 9044 30 9174 27 9232 4 9304 24 9359 7 9433 23 9487 8 9562 22 9615 9 9691 20 9743 10 9820 19 9871 10 9948 19 10000 10 10077 17 10128 10 10205 17 10257 9 10333 16 10386 9 10462 15 10514 9 10590 14 10643 9 10718 14 10772 9 10846 13 10900 9 10973 13 11031 6 11102 11 11230 10 11358 8 11488 3,9260 4 9294 3 9386 6 9421 6 9513 8 9548 8 9640 9 9676 10 9767 9 9804 13 9893 11 9932 14 10020 11 10061 14 10146 13 10189 14 10273 13 10318 13 10401 13 10447 12 10529 12 10575 11 10657 11 10704 10 10786 8 10834 6 10915 5 10964 2,4136 3 4264 3 4391 4 4508 2 4519 5 4631 8 4646 4 4758 9 4772 8 4885 24 5012 25 5139 27 5267 28 5396 28 5524 27 5552 1 5651 20 5672 7 5778 20 5801 5 5905 21 5929 5 6032 11 6045 9 6056 6 6068 2 6160 11 6173 9 6184 5 6196 3 6288 10 6301 16 6321 6 6416 10 6429 16 6448 6 6544 9 6557 11 6569 4 6576 5 6672 8 6685 10 6697 4 6704 5 6716 1 6799 8 6813 10 6825 4 6832 4 6926 8 6941 9 6953 5 6959 5 7054 7 7069 9 7081 10 7181 8 7198 8 7208 11 7309 8 7326 8 7336 11 7437 8 7453 21 7565 8 7581 21 7693 8 7708 23 7821 8 7835 24 7950 7 7962 25 8079 6 8089 25 8208 4 8217 25 8336 3 8345 23 8463 3 8474 16 8591 2 8605 11 8735 8 8864 7 8993 5,,3024 5 3151 13 3284 1 3286 7 3417 6 3497 2 3547 6 3623 3 3677 6 3751 1 3807 5 3871 2 3936 5 3993 2 3998 2 4065 5 4119 4 4194 4 4246 3 5098 2 5226 3 5355 3 5388 2 5483 4 5515 3 5612 3 5643 2 5741 2 5770 2 5898 2 7025 1 7153 2 7281 2 7305 1 7409 2 7432 2 7537 2 7560 2 7688 2 8893 5 9019 8 9145 12 9272 13 9355 2 9400 13 9457 1 9483 3 9528 14 9584 2 9611 3 9656 14 9711 3 9740 2 9783 15 9839 3 9911 15 9967 2 10039 15 10167 15 10295 15 10424 14 10552 14 10680 14 10809 13 10937 13 11065 12 11192 13 11289 2 11321 12 11418 3 11449 11 11491 2 11547 2 11560 3 11579 7 11601 4 11617 4 11687 4 11708 5 11730 4 11744 4 11837 4 11965 4 12093 4 12221 3 12350 2,11440 6 11467 2 11567 9 11589 9 11694 13 11715 12 11820 16 11842 15 11945 19 11969 18 11991 5 12068 25 12098 27 12198 23 12226 27 12328 20 12354 25 12458 18 12483 21 12589 13 12613 16 12747 3
gap_780ef6910430c38ee4,,,,,,,4159 2 4164 1 4287 2 4292 2 4414 1 4421 1 6850 5 6976 9 7104 10 7228 16 7353 21 7479 25 7606 29 7729 7 7739 26 7854 7 7868 26 7982 5 7996 11 8008 16 8123 5 8129 6 8137 11 8149 3 8251 25 8379 25 8501 3 8505 28 8626 35 8753 25 8781 8 8879 14 8895 10 8909 4 8917 1 9005 14 9025 7 9133 6 9143 3 9154 5 9260 5 9283 3 9388 2 9412 1,8069 1 8197 3 8326 3 8455 2 8583 2 8710 2 8837 1 9149 1 9161 4 9275 4 9288 7 9298 1 9401 7 9416 11 9522 15 9543 11 9650 15 9671 10 9782 12 9799 10 9910 12 9927 7 10038 6 10046 4 10170 3 10175 2
gap_afd86adfb87c3bc343,,5946 3 5952 4 6073 5 6079 7 6200 15 6328 15 6346 2 6456 16 6474 2 6584 6 6591 9 6713 4 6720 8 6848 8 6972 11 7100 10 7227 13 7355 14 7484 16 7619 8 7752 3 7881 1,,,3377 5 3504 6 3523 8 3533 5 3631 7 3645 22 3668 3 3760 5 3772 15 3789 13 3888 5 3900 14 3917 4 3923 10 4001 3 4017 2 4027 12 4051 11 4128 5 4156 3 4162 5 4180 10 4256 5 4291 4 4309 2 4313 6 4379 10 4419 4 4435 4 4442 10 4506 10 4547 5 4563 4 4573 9 4632 11 4675 4 4690 5 4703 8 4759 11 4791 3 4804 2 4818 6 4831 8 4885 12 4919 3 4946 6 4960 8 5013 12 5046 4 5074 7 5089 7 5141 12 5175 2 5203 6 5218 7 5268 12 5332 5 5347 7 5397 11 5462 1 5476 7 5525 12 5605 6 5653 13 5734 5 5781 14 5862 6 5910 14 5980 7 5990 6 6038 14 6064 1 6107 17 6166 17 6191 2 6235 16 6294 27 6362 17 6423 25 6490 16 6553 4 6559 17 6618 15 6689 14 6745 14 6819 11 6867 17 6950 8 6994 18 7066 6 7079 7 7123 17 7193 8 7207 6 7252 19 7321 8 7335 6 7383 16 7449 8 7463 5 7511 13 7577 9 7592 2 7639 12 7706 8 7768 10 7835 6 7897 8 7964 5 8027 4 8094 3,,7866 10 7991 15 8118 17 8246 18 8374 18 8502 19 8630 19 8758 19 8885 21 9013 21 9140 24 9268 26 9396 8 9405 18 9524 8 9534 5 9540 12 9651 10 9662 18 9779 29 9810 1 9899 2 9904 26 9934 2 10028 2 10032 25 10157 2 10161 23 10286 1 10292 5 10298 10 10422 2 10429 6 10558 4 10687 2 10815 2 10943 2 11071 2 11199 2 11327 2,7500 4 7627 6 7655 4 7755 8 7783 4 7827 3 7854 5 7882 10 7910 5 7954 5 7979 9 8010 11 8037 6 8081 6 8106 10 8138 12 8164 7 8209 7 8233 11 8266 12 8291 8 8337 8 8360 12 8395 11 8418 8 8465 9 8487 13 8523 11 8545 8 8593 9 8615 12 8651 11 8672 8 8721 10 8743 12 8780 10 8798 10 8850 10 8871 11 8909 8 8924 12 8978 11 8999 10 9039 5 9050 14 9108 10 9128 7 9169 1 9176 15 9239 8 9258 4 9303 16 9367 10 9430 17 9495 15 9557 17 9623 18 9683 19 9751 19 9811 18 9879 20 9938 18 10008 20 10066 17 10137 20 10193 17 10266 20 10316 3 10321 16 10396 19 10443 20 10525 18 10546 2 10554 1 10564 25 10655 17 10673 6 10681 4 10691 24 10786 27 10819 23 10916 25 10947 20 11046 23 11075 19 11176 21 11203 18 11306 19 11330 18 11435 19 11458 17 11564 18 11586 15 11693 17 11714 14 11825 13 11842 12 11954 11 11971 10 12083 9 12101 5 12213 6
