case_id,lung_airway,cardiomediastinal,hepatosplenic,renal_adrenal,bowel_pancreas,pelvic_urinary,axial_bone,appendicular_muscle
gap_f5af448c110e974293,4535 3 4660 6 4668 8 4680 4 4781 13 4795 25 4905 17 4923 28 5029 20 5052 30 5154 23 5181 31 5279 26 5310 32 5406 26 5439 32 5532 28 5568 32 5659 28 5697 32 5785 29 5827 32 5912 30 5956 32 6039 31 6085 31 6166 31 6214 31 6293 32 6343 31 6420 32 6472 31 6547 32 6601 31 6675 32 6730 30 6802 33 6859 30 6930 33 6987 30 7057 34 7115 31 7185 34 7243 32 7313 34 7371 32 7441 27 7469 7 7499 32 7569 27 7597 7 7628 32 7697 26 7726 5 7751 3 7756 32 7825 26 7855 4 7879 2 7884 32 7953 26 8000 5 8007 3 8013 31 8081 27 8124 14 8141 32 8209 28 8252 15 8269 32 8337 29 8379 50 8465 29 8508 4 8514 43 8594 29 8643 42 8722 29 8770 43 8850 29 8898 42 8979 32 9026 42 9107 33 9154 42 9236 32 9282 42 9364 32 9411 40 9493 31 9541 38 9621 31 9670 37 9750 31 9799 35 9878 31 9927 35 10007 32 10056 33 10135 35 10184 33 10264 34 10312 32 10393 33 10440 31 10522 32 10568 31 10651 30 10697 29 10780 29 10825 28 10909 28 10953 27 11038 27 11081 26 11167 25 11210 25 11296 23 11339 23 11425 21 11468 20 11554 19 11597 17 11684 15 11726 15 11814 12 11856 11 11946 2 11987 6,5948 6 6074 9 6201 11 6329 12 6456 15 6584 17 6712 18 6839 20 6967 20 7095 20 7223 11 7235 8 7352 8 7363 7 7484 1 7492 5 7621 2 7980 2 8111 4 8239 6 8367 6 8496 4 8886 5 9013 8 9141 8 9268 9 9396 9 9524 11 9652 10 9781 8 9909 7 10039 2,,,8636 5 8763 6 8891 6 9023 2 9152 1,,3771 4 3895 9 4021 12 4149 13 4276 17 4402 19 4529 1 4533 1 4953 3 5083 2 5150 2 5213 2 5277 1 5342 2 5403 2 5472 2 5530 1 5601 1 5657 1 5730 1 5859 1 5988 1 6418 1 6545 2 6672 2 6800 2 6928 1 7532 1 7660 2 7695 2 7788 2 7823 2 7916 3 7950 3 8045 2 8078 3 8173 2 8207 1 8301 2 8429 2 8558 1 8977 1 9105 2 9197 1 9233 3 9324 2 9361 3 9408 1 9452 2 9490 2 9535 4 9579 3 9619 1 9662 7 9707 3 9748 1 9789 9 9835 2 9917 10 9963 1 10045 10 10172 11 10300 12 10427 12 10554 13 10599 2 10682 14 10726 3 10810 14 10853 3 10938 14 10981 3 11035 1 11066 9 11076 2 11108 3 11163 3 11193 10 11204 2 11236 2 11292 3 11320 14 11363 2 11421 3 11447 3 11451 11 11550 4 11574 3 11580 10 11594 1 11679 4 11701 3 11708 10 11723 2 11808 5 11827 5 11838 6 11852 2 11937 7 11953 8 11967 4 12067 21 12095 3 12111 1 12198 14 12224 1 12241 6 12352 1,9740 2 9867 4 9995 4 10098 3 10123 4 10225 5 10252 4 10353 5 10382 3 10480 5 10512 1 10607 4 10641 1 10734 2 10769 2 10861 2 10898 2 10989 2 11027 2 11117 1 11156 1 11244 2 11287 1 11371 2 11415 3 11498 3 11544 3 11625 2 11751 3 11878 3 11963 3 11971 5 12004 4 12089 6 12098 8 12132 2 12215 8 12226 10 12340 11 12354 12 12466 13 12481 14 12595 12 12609 13 12725 9 12738 11
gap_5296f1202eee3792d4,8135 6 8263 7 8392 7 8520 7 8649 6 8777 6 8906 5 9034 5 9163 4 9291 4 9419 4 9548 3 9676 3 9804 3 9932 3 9967 1 10060 3 10095 1 10188 4 10222 1 10316 4 10349 2 10445 4 10477 1 10573 5 10604 1 10701 6 10731 1 10830 6 10857 2 10959 6 11087 8 11216 8 11346 8 11475 8 11607 6,7368 3 7497 1 8000 2 8126 6 8253 7 8380 9 8507 9 8635 9 8764 7 8893 3,3770 9 3892 21 4019 30 4148 42 4277 44 4406 45 4534 46 4663 46 4791 47 4920 47 5048 48 5176 49 5304 50 5432 51 5560 51 5689 51 5817 51 5946 51 6075 50 6204 49 6333 48 6463 47 6592 46 6724 43 6852 43 6981 43 7109 43 7238 42 7371 37 7501 36 7629 36 7758 35 7886 35 8015 35 8144 34 8272 34 8400 34 8528 34 8656 33 8726 3 8783 35 8853 5 8912 33 8980 8 8991 2 9039 34 9107 14 9167 34 9235 16 9256 5 9295 34 9363 17 9381 9 9424 33 9491 27 9552 33 9620 27 9680 32 9748 27 9808 31 9877 26 9936 31 10006 24 10065 29 10134 24 10193 28 10263 23 10321 28 10391 22 10450 26 10520 21 10579 24 10651 18 10708 22 10781 14 10837 20 10912 11 10966 17 11041 8 11096 12 11171 5 11227 5,9013 1 9144 1 9272 2 9518 1 9521 5 9647 8 9775 8 9903 8 10030 9 10158 9 10286 9 10413 9 10541 9 10669 8 10795 9 10923 8,4143 5 4269 8 4396 10 4524 10 4651 12 4779 12 4907 13 5035 13 5162 14 5289 15 5406 1 5409 2 5417 15 5531 10 5545 15 5658 12 5673 15 5785 13 5800 15 5911 2 5916 27 6039 2 6045 26 6168 1 6173 27 6300 28 6427 29 6553 33 6680 35 6807 36 6935 38 7063 38 7191 39 7319 39 7446 11 7459 27 7487 2 7574 10 7587 26 7702 7 7715 24 7830 7 7843 24 7958 7 7972 23 8086 7 8101 21 8215 5 8224 25 8343 5 8350 25 8471 5 8478 24 8599 4 8605 10 8617 13 8734 8 8746 11 8862 8 8875 11 8993 2 9007 6 9131 1,,3999 1 4124 4 4251 4 4378 5 4505 4 4585 2 4633 2 4713 3 4841 4 4970 4 5099 3 5229 2 5270 1 5357 2 5396 3 5486 1 5524 2 5651 3 5779 2 5907 2 6035 1 6384 2 6512 3 6640 3 6673 2 6769 3 6801 2 6897 3 6928 4 7025 3 7056 4 7153 2 7184 4 7282 1 7312 3 7441 1 8307 1 8435 1 8563 2 8690 3 8819 2 8849 1 8947 2 8977 2 9075 1 9104 3 9155 4 9203 1 9233 2 9280 9 9361 2 9408 11 9490 1 9535 12 9618 1 9662 13 9790 14 9918 14 10046 14 10173 14 10300 15 10427 16 10555 15 10682 16 10809 17 10936 16 10955 3 11036 2 11063 6 11070 10 11083 3 11113 2 11164 4 11190 3 11195 3 11201 7 11210 5 11240 3 11293 4 11318 1 11329 4 11337 2 11341 3 11366 4 11422 4 11458 2 11471 2 11493 4 11552 2 11586 1 11621 3,11322 6 11447 10 11461 8 11572 13 11589 10 11688 25 11716 12 11815 26 11844 15 11943 26 11972 22 12071 26 12100 23 12201 23 12228 23 12332 19 12357 22 12463 14 12486 19 12616 14 12747 7
gap_deac151dc54033d129,,6845 4 6962 4 6972 6 7089 5 7100 7 7216 5 7228 7 7239 2 7344 2 7356 6 7367 2 7485 5 7494 4 7614 2 7623 3,6805 1 6932 3 7060 4 7187 6 7315 6 7443 7 7571 7 7699 8 7827 8 7955 8 8083 8 8211 8 8339 8 8467 8 8595 8 8724 6 8852 6 8980 6 9109 5 9237 4 9366 3,7072 7 7199 10 7327 11 7383 3 7454 13 7510 6 7582 14 7637 7 7710 15 7765 8 7838 16 7893 8 7966 8 7977 5 8021 9 8094 7 8105 6 8151 7 8222 7 8233 6 8271 3 8279 7 8350 7 8360 6 8398 5 8407 7 8478 6 8487 7 8526 4 8535 7 8606 6 8613 8 8654 4 8663 7 8735 14 8782 4 8791 6 8863 13 8910 5 8919 6 8991 12 9038 7 9046 7 9120 9 9166 15 9248 7 9295 14 9378 3 9423 14 9552 12 9681 10 9809 9 9938 7 10068 3,2884 6 2996 3 3011 8 3122 7 3140 16 3244 1 3246 12 3268 18 3367 20 3397 20 3493 22 3520 28 3619 25 3645 35 3746 63 3874 51 3927 10 4001 34 4038 7 4048 3 4056 9 4129 18 4152 9 4168 2 4184 9 4257 16 4282 1 4312 8 4385 15 4441 6 4513 14 4569 4 4640 11 4698 2 4767 11 4895 12 4961 5 4972 2 5020 16 5063 4 5088 7 5099 6 5147 19 5191 5 5216 7 5227 6 5274 5 5280 15 5319 7 5345 6 5355 5 5401 5 5412 11 5426 2 5435 6 5445 9 5460 2 5465 1 5473 6 5484 3 5528 5 5540 12 5564 17 5588 5 5601 6 5656 5 5669 12 5694 3 5700 2 5712 4 5731 3 5783 6 5797 13 5823 2 5835 2 5839 7 5860 2 5863 4 5911 6 5925 13 5952 1 5961 14 5986 10 6001 3 6038 7 6054 11 6090 13 6113 11 6128 4 6167 5 6184 8 6219 12 6241 11 6256 4 6346 13 6369 12 6384 4 6473 15 6497 12 6512 4 6600 17 6625 13 6640 4 6727 18 6753 19 6855 6 6862 11 6880 20 6983 4 6992 9 7008 20 7111 5 7118 4 7124 4 7136 20 7241 8 7255 1 7265 18 7369 7 7393 19 7498 6 7522 19 7626 2 7651 18 7779 15 7908 13 8036 12 8165 9 8296 3,,7991 8 8119 10 8247 12 8375 12 8502 14 8630 14 8757 15 8886 14 9014 14 9142 14 9270 13 9399 12 9527 12 9655 12 9781 14 9908 17 9963 2 10035 18 10091 2 10163 3 10167 15 10219 1 10293 1 10296 11 10309 2 10424 9 10555 5 10683 2 10811 3 10939 3 11067 3 11194 4 11323 3,8369 3 8496 5 8624 5 8751 6 8774 2 8879 6 8902 4 9007 6 9029 6 9135 6 9157 6 9263 6 9285 6 9391 6 9413 6 9519 6 9541 6 9648 5 9669 6 9776 4 9797 6 9904 3 9925 6 10055 3 10184 2 10549 1 10671 10 10690 3 10797 13 10816 8 10921 17 10943 10 11048 17 11071 13 11175 18 11200 13 11303 18 11328 17 11431 18 11456 18 11559 18 11584 19 11688 17 11712 19 11817 16 11840 19 11946 14 11968 19 12078 8 12097 17 12227 14 12362 4
gap_5bf1e73744b2580044,,8119 1 8121 2 8247 1 8249 1 8375 1 8509 1 8524 5 8630 2 8634 5 8652 5 8757 10 8777 6 8784 1 8885 2 8888 7 8904 7 9013 1 9017 5 9032 6 9146 3 9161 5 9298 1,,,4403 12 4529 15 4654 18 4781 20 4807 16 4910 35 4947 6 5037 36 5076 7 5159 2 5164 36 5205 8 5286 4 5291 37 5333 10 5415 41 5462 10 5543 14 5559 7 5567 16 5590 6 5599 4 5672 12 5687 6 5697 12 5718 6 5727 5 5801 11 5815 6 5825 10 5845 7 5855 6 5930 11 5942 7 5954 7 5973 5 5982 7 6060 9 6071 6 6083 5 6101 4 6110 7 6189 8 6199 6 6213 1 6229 4 6237 8 6317 8 6327 7 6356 5 6366 5 6446 8 6456 7 6483 6 6494 4 6575 7 6585 6 6611 6 6621 3 6705 6 6713 8 6738 15 6834 15 6866 15 6964 13 6995 14 7092 12 7122 15 7221 11 7245 20 7349 11 7373 19 7479 10 7501 7 7510 9 7611 7 7629 7 7638 4 7742 6 7755 6 7764 4 7871 8 7881 6 7891 2 7994 2 8000 14 8123 1 8130 11 8261 6 8391 4 8520 1,,9393 1 9413 1 9521 5 9538 5 9649 8 9662 11 9777 27 9906 35 10034 35 10162 35 10291 34 10419 33 10547 32 10675 32 10804 30 10932 30 11061 28 11189 28 11317 28 11445 28 11573 27 11702 26 11831 24 11966 15 12095 9 12106 1 12225 5 12354 2,5920 5 6048 5 6176 6 6304 6 6429 11 6556 13 6683 16 6758 4 6811 17 6885 6 6938 18 7013 6 7065 20 7141 6 7193 22 7267 8 7320 23 7394 9 7448 24 7521 13 7576 27 7648 15 7704 29 7775 17 7832 30 7893 3 7901 19 7960 31 8018 8 8027 22 8087 32 8145 32 8215 32 8273 32 8343 32 8401 32 8471 32 8529 32 8599 12 8612 18 8657 32 8727 30 8785 31 8855 30 8913 31 8983 30 9042 30 9111 27 9170 30 9240 15 9256 6 9299 29 9368 16 9385 8 9428 16 9445 11 9495 26 9557 27 9622 27 9688 9 9699 12 9750 27 9815 9 9825 14 9878 28 9941 10 9953 14 10007 27 10069 25 10135 27 10197 24 10264 27 10325 24 10393 26 10452 8 10461 15 10522 25 10580 23 10650 25 10707 24 10780 17 10798 6 10834 25 10908 17 10926 6 10962 24 11037 24 11089 24 11166 23 11217 23 11296 14 11311 6 11345 22 11425 13 11441 4 11473 21 11555 12 11569 4 11600 20 11685 12 11698 3 11728 8 11737 9 11815 11 11855 18 11945 10 11982 8 11992 7 12076 17 12109 8 12119 6 12206 16 12233 3 12237 7 12247 4 12337 14 12358 8 12367 3 12373 4 12470 10 12485 8 12501 2 12615 2
gap_505c5e72c8ab02164d,4552 8 4680 14 4695 5 4808 22 4937 23 5066 23 5195 23 5324 23 5453 24 5582 24 5710 25 5793 2 5839 25 5919 4 5968 24 6046 5 6096 25 6172 7 6225 24 6299 8 6353 25 6426 9 6481 12 6499 7 6554 9 6609 11 6628 6 6681 11 6737 10 6757 5 6809 11 6865 9 6885 6 6936 13 6993 9 7014 5 7064 13 7120 10 7142 5 7192 14 7247 11 7270 5 7319 15 7375 11 7397 7 7447 16 7502 12 7525 7 7575 17 7630 13 7652 8 7703 17 7757 14 7779 9 7831 19 7884 17 7905 11 7958 21 8010 34 8086 22 8133 40 8214 23 8260 41 8342 24 8388 41 8470 25 8516 41 8598 26 8644 41 8726 31 8772 41 8854 32 8900 41 8982 32 9029 40 9110 32 9158 39 9238 32 9286 39 9366 32 9415 38 9494 32 9544 36 9622 32 9672 36 9750 32 9801 35 9878 32 9929 35 10006 32 10058 33 10135 31 10186 33 10263 31 10314 32 10392 30 10442 32 10520 30 10571 30 10649 29 10699 30 10778 28 10827 29 10906 27 10955 28 11035 26 11083 27 11163 26 11212 25 11292 24 11340 24 11422 20 11469 22 11552 17 11598 20 11682 14 11727 18 11812 10 11857 14 11944 5 11989 6 12074 1,5051 2 5177 11 5290 7 5302 16 5416 31 5543 32 5671 32 5798 34 5926 41 6054 42 6181 43 6310 43 6438 43 6566 43 6693 44 6822 43 6950 22 6973 19 7078 21 7102 18 7207 20 7230 17 7336 19 7358 17 7464 18 7486 2 7491 11 7593 17 7620 10 7722 16 7748 9 7850 15 7876 8 7980 12 8007 2 8109 10 8238 6 8505 7 8632 9 8759 10 8887 10 9014 11 9142 11 9270 10 9398 9 9527 7 9658 2,6620 6 6747 9 6874 11 7002 11 7130 11 7258 11 7386 11 7514 10 7643 8 7771 7 7901 3,,7997 3 8126 3,,4043 9 4149 5 4171 10 4273 8 4299 13 4399 8 4432 8 4525 9 4563 5 4650 9 4775 8 4902 8 4961 2 5028 4 5090 1 5219 3 5348 3 5477 3 5606 2 5735 2 5915 2 6041 4 6168 4 6296 3 6423 3 6551 2 6679 2 6807 1 7276 1 7404 1 7532 2 7660 2 7788 2 7916 3 7956 2 8045 2 8083 3 8173 2 8211 3 8301 1 8339 3 8429 1 8467 3 8595 2 8723 2 8852 1 9538 1 9663 8 9709 1 9789 11 9836 2 9916 11 9964 2 10004 2 10043 12 10091 3 10132 3 10170 14 10219 2 10260 3 10298 14 10347 2 10389 3 10426 13 10474 3 10517 3 10554 13 10602 2 10646 3 10682 14 10729 2 10775 2 10809 15 10857 1 10903 2 10937 15 11065 15 11193 15 11322 13 11450 13 11574 2 11580 11 11702 4 11711 2 11715 2 11719 2 11832 3 11839 4 11847 2 11968 3 12065 3 12096 2 12119 7 12194 5 12224 2 12245 8 12323 6 12352 2 12374 6 12453 4 12480 1,11835 2 11953 1 11958 9 11972 9 12079 16 12099 14 12206 17 12227 14 12333 18 12355 16 12461 18 12483 17 12589 18 12611 17 12716 17 12741 14 12846 8 12879 1
gap_fbea1969b0eb81bf0d,3804 4 3875 6 3933 5 4001 8 4061 5 4128 8 4190 5 4255 8 4318 5 4382 9 4448 4 4510 7 4577 3 4637 7 4706 3 4765 6 4835 3 4892 5 4965 2 5020 5 5093 3 5147 6 5223 1 5275 6 5352 1 5402 6 5529 6 5657 5 5784 5 5912 5 6040 5 6168 3 6295 4 6423 3 6466 2 6551 3 6593 4 6679 2 6721 7 6807 2 6849 9 6934 3 6977 10 7062 2 7106 10 7190 1 7234 11 7317 2 7362 12 7445 2 7491 11 7573 2 7619 12 7701 2 7747 12 7829 2 7861 2 7876 11 7957 2 7989 2 8004 12 8084 3 8117 2 8132 12 8212 3 8244 4 8261 12 8340 3 8372 4 8390 11 8468 3 8499 6 8518 11 8597 2 8627 6 8647 11 8725 3 8754 7 8775 12 8853 3 8881 8 8904 11 8981 3 9009 8 9032 12 9109 3 9136 9 9161 12 9237 4 9263 10 9289 13 9366 3 9391 10 9417 14 9449 2 9494 3 9518 10 9546 14 9575 3 9622 3 9645 11 9674 16 9701 5 9751 3 9772 12 9803 19 9826 7 9879 3 9899 13 9931 30 10008 3 10026 14 10059 29 10136 3 10153 14 10188 27 10265 4 10279 16 10316 27 10393 6 10405 18 10445 24 10522 28 10574 22 10651 26 10703 20 10779 26 10832 17 10908 24 10962 13 11037 22 11092 9 11167 19 11224 2 11297 16 11427 12 11558 6,5830 4 5956 8 6084 9 6212 10 6340 10 6469 10 6598 9 6729 6 7228 5 7354 8 7481 9 7609 9 7736 10 7864 10 7992 9 8120 9 8249 6,3516 13 3640 20 3767 24 3893 26 4020 28 4149 29 4278 29 4407 29 4535 36 4663 41 4790 43 4919 44 5048 44 5178 43 5308 43 5438 42 5570 38 5699 38 5828 2 5834 32 5964 31 6093 30 6222 30 6350 31 6479 30 6607 30 6735 30 6862 32 6940 1 6990 32 7067 3 7118 32 7197 3 7247 31 7325 4 7375 31 7450 7 7503 31 7577 8 7631 31 7705 9 7760 30 7833 10 7846 2 7888 30 7961 17 8016 30 8089 18 8145 28 8216 23 8273 28 8344 25 8401 28 8472 25 8530 27 8600 25 8658 27 8729 23 8787 25 8857 23 8916 24 8985 22 9044 23 9113 22 9173 21 9241 21 9302 19 9370 20 9431 17 9498 19 9561 13 9626 18 9691 10 9755 16 9883 15 10012 13 10141 11 10270 8 10402 1,,4917 2 5044 4 5164 7 5172 4 5291 13 5417 14 5545 16 5670 19 5798 20 5929 17 6050 1 6056 18 6179 18 6303 1 6306 17 6431 1 6435 16 6560 18 6688 19 6815 20 6846 1 6941 22 7070 21 7200 19 7227 1 7329 18 7462 13 7590 13 7718 12 7848 10 7978 7 8107 4,,3031 6 3112 2 3160 7 3237 5 3289 6 3364 5 3490 7 3618 5 3747 2 4196 1 4324 3 4452 3 5017 2 5144 3 5272 2 5400 1 5997 2 6125 2 6253 2 6381 2 6422 1 6549 2 6677 2 6805 1 7919 1 8046 2 8174 2 8302 2 8430 2 8467 1 8511 5 8558 1 8595 1 8637 8 8723 1 8763 11 8851 1 8890 12 8979 2 9018 13 9107 2 9146 13 9236 1 9274 13 9402 13 9530 13 9659 12 9787 12 9915 11 10043 11 10171 11 10299 12 10426 14 10551 1 10554 14 10570 2 10678 11 10690 1 10694 2 10699 3 10805 3 10809 3 10815 4 10828 3 10850 1 10933 2 10937 2 10944 3 10958 2 10976 2 11072 3 11102 4 11200 2 11229 4 11328 2 11356 1 11457 2 11554 3 11585 2 11682 6 11713 2 11812 4 11841 1,10949 4 11069 1 11076 8 11191 2 11195 4 11204 10 11318 9 11333 11 11445 10 11461 17 11572 11 11589 20 11698 13 11717 20 11823 16 11847 17 11949 18 11976 15 12076 18 12113 2 12205 16 12335 12 12468 5
gap_02daecab79ab4c04f5,,,,,,,,6242 4 6369 7 6497 8 6624 10 6681 6 6752 11 6808 8 6879 12 6935 9 7007 12 7062 11 7135 12 7190 11 7262 13 7318 11 7390 13 7446 11 7517 13 7574 12 7646 4 7652 4 7702 11 7831 10 7960 5 8676 2 8780 2 8801 5 8856 5 8907 3 8928 7 8984 7 9036 3 9056 8 9113 6 9165 1 9180 1 9184 8 9241 7 9249 2 9311 10 9369 11 9383 6 9439 10 9497 19 9567 10 9625 18 9695 10 9753 17 9823 10 9881 17 9951 10 10010 16 10077 10 10140 14 10204 10 10270 9 10331 10 10399 7 10458 9 10529 8 10584 9 10660 5 10711 9 10790 6 10838 9 10920 5 10966 7 11049 5 11093 8 11178 5 11221 6 11306 6 11435 4 11565 1
gap_cabd65526627951603,,5795 1 5923 1 6050 2 6562 3 6690 3 6818 3 6947 2 7075 1 7495 6 7611 1 7622 7 7737 6 7749 9 7864 8 7877 9 7991 9 8005 9 8119 10 8133 9 8246 10 8261 9 8374 9 8390 7 8502 8 8519 6 8631 6 8647 5 8776 3,4010 18 4053 7 4135 55 4262 58 4390 60 4519 61 4648 63 4777 63 4907 62 5036 61 5165 61 5294 60 5423 60 5552 60 5682 59 5812 57 5941 56 6069 57 6197 58 6327 23 6353 31 6458 17 6482 30 6587 13 6611 29 6716 12 6740 28 6848 9 6864 1 6869 27 6976 11 6991 4 6997 28 7104 11 7119 4 7126 27 7233 10 7247 4 7255 26 7361 11 7375 4 7383 26 7490 5 7503 34 7629 1 7631 34 7758 36 7886 36 8014 36 8142 36 8270 36 8399 35 8527 35 8656 34 8785 33 8914 32 9044 29 9104 2 9174 27 9231 6 9304 24 9359 7 9433 22 9487 8 9562 21 9615 9 9691 20 9743 10 9820 19 9871 11 9948 18 10000 10 10077 17 10128 10 10205 17 10257 10 10333 16 10386 9 10462 15 10515 8 10590 14 10643 8 10718 13 10772 8 10846 12 10901 8 10974 12 11031 6 11102 11 11230 9 11359 2,9261 2 9295 1 9386 7 9421 6 9513 8 9548 9 9640 9 9676 10 9767 9 9804 12 9893 11 9933 12 10020 11 10061 13 10146 13 10189 13 10274 12 10318 12 10401 13 10447 11 10529 12 10575 11 10657 11 10704 10 10786 8 10834 6 10915 5 10964 2,4382 2 4507 5 4516 3 4633 6 4643 5 4759 8 4771 6 4887 20 5013 23 5140 25 5268 26 5397 26 5525 26 5652 18 5673 6 5779 16 5796 1 5802 4 5906 17 5929 4 6033 17 6052 1 6057 4 6160 11 6173 9 6185 4 6288 11 6301 9 6313 4 6416 10 6429 10 6441 4 6450 2 6544 9 6557 5 6565 2 6569 4 6578 2 6672 8 6685 5 6693 1 6698 2 6706 2 6799 8 6813 5 6821 1 6826 2 6927 6 6941 6 6949 1 6954 2 7054 7 7069 6 7076 1 7082 3 7182 7 7197 8 7210 3 7310 7 7325 9 7338 4 7439 6 7453 9 7466 3 7567 6 7581 9 7594 3 7599 1 7695 6 7709 9 7722 2 7727 2 7824 5 7836 6 7850 1 7854 3 7953 4 7962 8 7981 5 8082 2 8089 9 8108 5 8210 2 8217 11 8231 2 8236 4 8345 16 8474 13 8607 7 8736 5 8865 4 8994 3,,3023 9 3151 13 3283 11 3417 7 3498 1 3547 7 3623 3 3677 6 3747 6 3807 5 3870 5 3936 5 3992 9 4065 5 4118 5 4194 4 4246 3 5098 3 5227 2 5261 1 5355 3 5388 2 5483 4 5515 3 5612 3 5643 2 5741 2 5770 2 5898 2 7025 2 7153 2 7281 2 7305 1 7409 2 7432 3 7537 2 7560 2 7666 1 7688 2 8893 4 9020 7 9145 11 9272 13 9355 2 9400 13 9457 1 9483 2 9528 13 9584 2 9611 3 9656 14 9712 2 9740 2 9784 14 9839 3 9911 15 9967 2 10039 15 10167 15 10296 13 10425 12 10553 1 10555 10 10684 5 10691 3 10809 1 10812 5 10818 4 10937 8 10946 4 11065 13 11192 13 11289 2 11321 12 11418 3 11449 11 11491 2 11547 2 11560 3 11579 7 11601 4 11617 4 11687 3 11709 4 11730 4 11744 3 11837 4 11859 1 11965 4 12093 3 12221 4 12350 2,11441 3 11567 8 11590 8 11693 13 11715 12 11820 16 11842 15 11945 19 11970 16 11993 1 12068 24 12098 25 12199 22 12226 25 12329 19 12354 24 12458 17 12483 20 12589 12 12614 13
gap_780ef6910430c38ee4,,,,,,,4159 2 6850 4 6976 9 7104 10 7228 15 7356 17 7479 4 7484 19 7607 3 7612 20 7634 1 7729 3 7740 19 7760 4 7855 5 7868 6 7876 1 7879 10 7890 2 7982 4 7996 4 8009 7 8124 4 8137 6 8251 5 8264 9 8379 6 8392 11 8501 3 8506 7 8519 13 8627 34 8752 26 8781 5 8879 13 8895 10 8912 1 9006 8 9015 4 9025 7 9133 6 9143 2 9154 5 9260 4 9283 3 9412 1,7764 1 7892 1 8019 4 8150 2 8327 2 8456 1 8787 1 9402 4 9530 3
gap_afd86adfb87c3bc343,,6073 4 6080 5 6201 5 6207 7 6328 6 6335 8 6456 6 6464 7 6585 4 6592 8 6713 3 6720 8 6849 7 6973 10 7100 8 7109 1 7227 12 7355 14 7483 17 7612 5 7619 9 7752 3 7881 2,,,3400 1 3505 5 3525 6 3535 2 3632 5 3645 14 3661 6 3669 2 3760 5 3772 15 3789 12 3889 3 3899 15 3917 4 3923 9 4002 2 4027 12 4051 10 4129 4 4156 2 4163 4 4181 9 4256 5 4291 4 4313 7 4381 2 4384 5 4419 4 4436 3 4442 9 4507 9 4547 4 4563 4 4572 8 4633 8 4675 4 4690 5 4704 5 4760 9 4792 1 4804 2 4818 5 4832 5 4887 10 4919 3 4946 6 4961 4 5014 11 5047 2 5074 7 5089 5 5141 11 5175 2 5203 6 5219 3 5269 10 5332 5 5347 3 5397 10 5476 5 5525 11 5606 4 5653 13 5735 4 5781 14 5863 4 5910 13 5981 5 5991 4 6038 14 6064 1 6107 8 6118 6 6166 17 6190 3 6234 16 6294 27 6347 1 6362 16 6422 27 6474 2 6490 15 6552 4 6560 16 6618 15 6689 14 6745 12 6819 12 6867 17 6941 1 6951 7 6994 18 7066 6 7079 7 7123 20 7193 8 7207 6 7252 20 7321 8 7335 6 7383 17 7449 8 7464 4 7512 12 7526 1 7577 9 7640 11 7706 8 7768 10 7835 6 7897 7 7965 4 8094 3,,7867 3 7871 5 7991 15 8118 17 8246 18 8374 19 8502 19 8630 19 8758 19 8885 21 9013 22 9140 24 9268 2 9272 16 9289 6 9396 27 9524 8 9533 6 9540 11 9651 29 9779 26 9806 2 9899 3 9904 26 9934 1 10028 2 10032 24 10157 2 10160 21 10183 1 10292 5 10299 9 10429 6 10558 3 10687 2 10815 2 10943 2 11071 2 11199 2 11327 2,7500 3 7628 5 7655 4 7755 8 7782 5 7827 3 7855 4 7883 9 7910 5 7954 5 7980 8 8010 10 8037 6 8081 7 8106 10 8138 11 8164 7 8209 7 8233 11 8266 12 8291 7 8337 8 8360 12 8395 11 8418 8 8465 9 8487 13 8523 11 8545 8 8593 10 8615 12 8651 11 8672 8 8721 10 8743 12 8780 10 8798 10 8850 10 8871 11 8910 8 8924 12 8978 11 8999 10 9039 6 9050 13 9108 10 9128 8 9169 1 9177 14 9238 9 9258 4 9303 16 9366 12 9430 16 9494 17 9556 18 9622 19 9683 19 9751 19 9810 19 9879 20 9938 18 10008 20 10060 1 10065 18 10137 20 10187 5 10193 17 10266 21 10314 23 10396 23 10441 21 10525 23 10553 3 10564 25 10655 22 10681 4 10691 24 10786 21 10808 5 10818 24 10916 25 10946 20 11046 23 11074 20 11176 21 11202 19 11306 19 11330 18 11435 19 11458 15 11564 18 11586 15 11693 17 11713 15 11825 13 11842 12 11953 13 11971 10 12083 10 12100 7 12213 6
